date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:45	113729/113729	---M--	200	added ('OK')	text/html	date:Fri,%2008%20Oct%202021%2020:30:43%20GMT	https://instantfxoptiontrade.com/index.html	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/index.html	(from )
23:02:47	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2004:02:46%20GMT	https://instantfxoptiontrade.com/robots.txt		(from )
23:02:47	30915/30915	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:48:08%20GMT	https://instantfxoptiontrade.com/data/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/data/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css	(from https://instantfxoptiontrade.com/index.html)
23:02:48	41375/41375	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:18:10%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/bootstrap.css	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/data/design/cryptonode/css/bootstrap.css	(from https://instantfxoptiontrade.com/index.html)
23:02:48	51302/51302	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:19:58%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/core.css	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/data/design/cryptonode/css/core.css	(from https://instantfxoptiontrade.com/index.html)
23:02:48	324/324	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202020%2002:19:24%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/components.html	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/data/design/cryptonode/css/components.html	(from https://instantfxoptiontrade.com/index.html)
23:02:49	1716/1716	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:18:44%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/button.css	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/data/design/cryptonode/css/button.css	(from https://instantfxoptiontrade.com/index.html)
23:02:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2004:02:48%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/images/favicon.png	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/data/design/cryptonode/images/favicon.png	(from https://instantfxoptiontrade.com/index.html)
23:02:50	35891/35891	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Oct%202021%2005:09:10%20GMT	https://instantfxoptiontrade.com/images/bitcoin31.png	C:/My%20Web%20Sites/instantfxoptionstrade/instantfxoptiontrade.com/images/bitcoin31.png	(from https://instantfxoptiontrade.com/index.html)
23:02:51	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/My%20Web%20Sites/instantfxoptionstrade/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://instantfxoptiontrade.com/index.html)
